filename,module_name,module_params,execution_time,retrieval_f1,retrieval_recall,retrieval_precision,retrieval_ndcg,retrieval_map,retrieval_mrr,is_best
0.parquet,bm25,{'top_k': 10},0.03634233744639271,0.15437392795883362,0.660377358490566,0.08867924528301888,0.4194591662716775,0.4240865528601377,0.4321952680443246,False
1.parquet,bm25,{'top_k': 3},0.02453556150760291,0.30754716981132074,0.5471698113207547,0.220125786163522,0.36652183476656636,0.4182389937106918,0.41509433962264153,False
2.parquet,bm25,{'top_k': 5},0.02793086699719699,0.22461814914645106,0.5660377358490566,0.14339622641509436,0.3809620981234433,0.4125786163522012,0.41886792452830185,False
3.parquet,vectordb,"{'top_k': 10, 'embedding_model': 'openai', 'embedding_batch': 256}",0.21876618547259635,0.16809605488850773,0.6415094339622641,0.09811320754716983,0.2022970001951126,0.09375935908954777,0.08295896975142258,False
4.parquet,vectordb,"{'top_k': 3, 'embedding_model': 'openai', 'embedding_batch': 256}",0.21545718750863704,0.35094339622641507,0.6226415094339622,0.25157232704402516,0.3064920178554135,0.30817610062893086,0.3018867924528302,False
5.parquet,vectordb,"{'top_k': 5, 'embedding_model': 'openai', 'embedding_batch': 256}",0.20277996333140247,0.27942497753818507,0.6226415094339622,0.1849056603773585,0.27593271204475045,0.1993710691823899,0.19213836477987423,False
6.parquet,hybrid_rrf,"{'top_k': 10, 'rrf_k': 1, 'target_modules': ('bm25', 'vectordb'), 'target_module_params': ({'top_k': 3}, {'top_k': 3, 'embedding_model': 'openai', 'embedding_batch': 256})}",0.2399927490162399,0.3192273135669363,0.8113207547169812,0.20660377358490567,0.47221471736620146,0.48207547169811316,0.4987421383647798,True
7.parquet,hybrid_rrf,"{'top_k': 10, 'rrf_k': 10, 'target_modules': ('bm25', 'vectordb'), 'target_module_params': ({'top_k': 3}, {'top_k': 3, 'embedding_model': 'openai', 'embedding_batch': 256})}",0.2399927490162399,0.3192273135669363,0.8113207547169812,0.20660377358490567,0.47221471736620146,0.48207547169811316,0.4987421383647798,False
8.parquet,hybrid_rrf,"{'top_k': 10, 'rrf_k': 3, 'target_modules': ('bm25', 'vectordb'), 'target_module_params': ({'top_k': 3}, {'top_k': 3, 'embedding_model': 'openai', 'embedding_batch': 256})}",0.2399927490162399,0.3192273135669363,0.8113207547169812,0.20660377358490567,0.47221471736620146,0.48207547169811316,0.4987421383647798,False
9.parquet,hybrid_rrf,"{'top_k': 10, 'rrf_k': 5, 'target_modules': ('bm25', 'vectordb'), 'target_module_params': ({'top_k': 3}, {'top_k': 3, 'embedding_model': 'openai', 'embedding_batch': 256})}",0.2399927490162399,0.3192273135669363,0.8113207547169812,0.20660377358490567,0.47221471736620146,0.48207547169811316,0.4987421383647798,False
10.parquet,hybrid_rrf,"{'top_k': 3, 'rrf_k': 1, 'target_modules': ('bm25', 'vectordb'), 'target_module_params': ({'top_k': 3}, {'top_k': 3, 'embedding_model': 'openai', 'embedding_batch': 256})}",0.2399927490162399,0.3358490566037736,0.6037735849056604,0.23899371069182393,0.3865791710708861,0.4512578616352201,0.45597484276729555,False
11.parquet,hybrid_rrf,"{'top_k': 3, 'rrf_k': 10, 'target_modules': ('bm25', 'vectordb'), 'target_module_params': ({'top_k': 3}, {'top_k': 3, 'embedding_model': 'openai', 'embedding_batch': 256})}",0.2399927490162399,0.3358490566037736,0.6037735849056604,0.23899371069182393,0.3865791710708861,0.4512578616352201,0.45597484276729555,False
12.parquet,hybrid_rrf,"{'top_k': 3, 'rrf_k': 3, 'target_modules': ('bm25', 'vectordb'), 'target_module_params': ({'top_k': 3}, {'top_k': 3, 'embedding_model': 'openai', 'embedding_batch': 256})}",0.2399927490162399,0.3358490566037736,0.6037735849056604,0.23899371069182393,0.3865791710708861,0.4512578616352201,0.45597484276729555,False
13.parquet,hybrid_rrf,"{'top_k': 3, 'rrf_k': 5, 'target_modules': ('bm25', 'vectordb'), 'target_module_params': ({'top_k': 3}, {'top_k': 3, 'embedding_model': 'openai', 'embedding_batch': 256})}",0.2399927490162399,0.3358490566037736,0.6037735849056604,0.23899371069182393,0.3865791710708861,0.4512578616352201,0.45597484276729555,False
14.parquet,hybrid_rrf,"{'top_k': 5, 'rrf_k': 1, 'target_modules': ('bm25', 'vectordb'), 'target_module_params': ({'top_k': 3}, {'top_k': 3, 'embedding_model': 'openai', 'embedding_batch': 256})}",0.2399927490162399,0.3088948787061995,0.7358490566037735,0.20220125786163523,0.4531311419404936,0.46949685534591196,0.4861635220125786,False
15.parquet,hybrid_rrf,"{'top_k': 5, 'rrf_k': 10, 'target_modules': ('bm25', 'vectordb'), 'target_module_params': ({'top_k': 3}, {'top_k': 3, 'embedding_model': 'openai', 'embedding_batch': 256})}",0.2399927490162399,0.3088948787061995,0.7358490566037735,0.20220125786163523,0.4531311419404936,0.46949685534591196,0.4861635220125786,False
16.parquet,hybrid_rrf,"{'top_k': 5, 'rrf_k': 3, 'target_modules': ('bm25', 'vectordb'), 'target_module_params': ({'top_k': 3}, {'top_k': 3, 'embedding_model': 'openai', 'embedding_batch': 256})}",0.2399927490162399,0.3088948787061995,0.7358490566037735,0.20220125786163523,0.4531311419404936,0.46949685534591196,0.4861635220125786,False
17.parquet,hybrid_rrf,"{'top_k': 5, 'rrf_k': 5, 'target_modules': ('bm25', 'vectordb'), 'target_module_params': ({'top_k': 3}, {'top_k': 3, 'embedding_model': 'openai', 'embedding_batch': 256})}",0.2399927490162399,0.3088948787061995,0.7358490566037735,0.20220125786163523,0.4531311419404936,0.46949685534591196,0.4861635220125786,False
